institution,region,countryabbrv
Brock University,canada,ca
Carleton University,canada,ca
Concordia University,canada,ca
Dalhousie University,canada,ca
ETS Montreal,canada,ca
HEC Montreal,canada,ca
McGill University,canada,ca
McMaster University,canada,ca
Memorial University of Newfoundland,canada,ca
Ontario Tech University,canada,ca
Polytechnique Montreal,canada,ca
Queen’s University,canada,ca
Royal Military College of Canada,canada,ca
Simon Fraser University,canada,ca
Toronto Metropolitan University,canada,ca
University of Alberta,canada,ca
University of British Columbia,canada,ca
University of Calgary,canada,ca
University of Guelph,canada,ca
University of Manitoba,canada,ca
University of Montreal,canada,ca
University of New Brunswick,canada,ca
University of Ottawa,canada,ca
University of Regina,canada,ca
University of Saskatchewan,canada,ca
University of Toronto,canada,ca
University of Victoria,canada,ca
University of Waterloo,canada,ca
University of Windsor,canada,ca
Université Laval,canada,ca
Université de Sherbrooke,canada,ca
Université du Québec à Montréal,canada,ca
Western University,canada,ca
York University,canada,ca